Código;Nome do cargo na Pesquisa;Região;Segmento;Data;;;;;;;;;;;;;;;;
362;Analista de Remuneração e Benefícios;Nacional;TI;2025;;;;;;;;;;;;;;;;
796;Analista de Requisitos;Nacional;TI;2025;;;;;;;;;;;;;;;;
894;Analista de Sales Ops;Nacional;TI;2025;;;;;;;;;;;;;;;;
889;Analista de Segurança da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
22;Analista de Sistemas;Nacional;TI;2025;;;;;;;;;;;;;;;;
1009;Analista de SRE;Nacional;TI;2025;;;;;;;;;;;;;;;;
1117;Analista de Sustentabilidade;Nacional;TI;2025;;;;;;;;;;;;;;;;
30;Analista de Tecnologia da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
29;Analista de Testes (Qualidade em TI);Nacional;TI;2025;;;;;;;;;;;;;;;;
379;Analista de Treinamento e Desenvolvimento;Nacional;TI;2025;;;;;;;;;;;;;;;;
177;Analista Educacional;Nacional;TI;2025;;;;;;;;;;;;;;;;
16;Analista Financeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
381;Analista Jurídico;Nacional;TI;2025;;;;;;;;;;;;;;;;
133;Arquiteto de Software;Nacional;TI;2025;;;;;;;;;;;;;;;;
59;Assistente Administrativo;Nacional;TI;2025;;;;;;;;;;;;;;;;
62;Assistente Comercial;Nacional;TI;2025;;;;;;;;;;;;;;;;
273;Assistente Contábil Fiscal;Nacional;TI;2025;;;;;;;;;;;;;;;;
835;Assistente de Assistência Técnica;Nacional;TI;2025;;;;;;;;;;;;;;;;
319;Assistente de Atendimento e Suporte;Nacional;TI;2025;;;;;;;;;;;;;;;;
489;Assistente de Comércio Exterior;Nacional;TI;2025;;;;;;;;;;;;;;;;
67;Assistente de Compras;Nacional;TI;2025;;;;;;;;;;;;;;;;
839;Assistente de Conteúdo;Nacional;TI;2025;;;;;;;;;;;;;;;;
129;Assistente de Contratos;Nacional;TI;2025;;;;;;;;;;;;;;;;
1068;Assistente de Customer Experience;Nacional;TI;2025;;;;;;;;;;;;;;;;
68;Assistente de Departamento Pessoal;Nacional;TI;2025;;;;;;;;;;;;;;;;
1112;Assistente de Design;Nacional;TI;2025;;;;;;;;;;;;;;;;
828;Assistente de E-commerce;Nacional;TI;2025;;;;;;;;;;;;;;;;
990;Assistente de Gerenciamento de Riscos e Compliance;Nacional;TI;2025;;;;;;;;;;;;;;;;
440;Assistente de Implantação e Configuração;Nacional;TI;2025;;;;;;;;;;;;;;;;
69;Assistente de Infraestrutura de TI;Nacional;TI;2025;;;;;;;;;;;;;;;;
1006;Assistente de Inteligência Artificial;Nacional;TI;2025;;;;;;;;;;;;;;;;
550;Assistente de Inteligência de Mercado;Nacional;TI;2025;;;;;;;;;;;;;;;;
70;Assistente de Logística;Nacional;TI;2025;;;;;;;;;;;;;;;;
71;Assistente de Marketing;Nacional;TI;2025;;;;;;;;;;;;;;;;
577;Assistente de Marketing Digital;Nacional;TI;2025;;;;;;;;;;;;;;;;
581;Assistente de Negócios;Nacional;TI;2025;;;;;;;;;;;;;;;;
309;Assistente de Operações;Nacional;TI;2025;;;;;;;;;;;;;;;;
341;Assistente de Planejamento Financeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
441;Assistente de Pré-vendas (SDR);Nacional;TI;2025;;;;;;;;;;;;;;;;
616;Assistente de Produto;Nacional;TI;2025;;;;;;;;;;;;;;;;
795;Assistente de Programação;Nacional;TI;2025;;;;;;;;;;;;;;;;
74;Assistente de Projetos;Nacional;TI;2025;;;;;;;;;;;;;;;;
292;Assistente de Prospecção (BDR);Nacional;TI;2025;;;;;;;;;;;;;;;;
75;Assistente de Qualidade e Processos;Nacional;TI;2025;;;;;;;;;;;;;;;;
634;Assistente de Recrutamento e Seleção;Nacional;TI;2025;;;;;;;;;;;;;;;;
77;Assistente de Recursos Humanos;Nacional;TI;2025;;;;;;;;;;;;;;;;
442;Assistente de Relacionamento;Nacional;TI;2025;;;;;;;;;;;;;;;;
888;Assistente de Segurança da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
31;Assistente de Tecnologia da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
443;Assistente de Testes (Qualidade em TI);Nacional;TI;2025;;;;;;;;;;;;;;;;
761;Assistente de Treinamento e Desenvolvimento;Nacional;TI;2025;;;;;;;;;;;;;;;;
79;Assistente Financeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
80;Assistente Jurídico;Nacional;TI;2025;;;;;;;;;;;;;;;;
117;Atendente de Recepção;Nacional;TI;2025;;;;;;;;;;;;;;;;
83;Auxiliar Administrativo;Nacional;TI;2025;;;;;;;;;;;;;;;;
91;Auxiliar de Serviços Gerais;Nacional;TI;2025;;;;;;;;;;;;;;;;
456;CEO;Nacional;TI;2025;;;;;;;;;;;;;;;;
444;Cientista de Dados;Nacional;TI;2025;;;;;;;;;;;;;;;;
93;Comprador;Nacional;TI;2025;;;;;;;;;;;;;;;;
285;Consultor Comercial;Nacional;TI;2025;;;;;;;;;;;;;;;;
40;Consultor de Atendimento e Suporte;Nacional;TI;2025;;;;;;;;;;;;;;;;
156;Consultor de Implantação e Configuração;Nacional;TI;2025;;;;;;;;;;;;;;;;
149;Consultor de Negócios;Nacional;TI;2025;;;;;;;;;;;;;;;;
33;Consultor de TI;Nacional;TI;2025;;;;;;;;;;;;;;;;
94;Contador;Nacional;TI;2025;;;;;;;;;;;;;;;;
95;Controller;Nacional;TI;2025;;;;;;;;;;;;;;;;
39;Coordenador Administrativo;Nacional;TI;2025;;;;;;;;;;;;;;;;
477;Coordenador Business Partner;Nacional;TI;2025;;;;;;;;;;;;;;;;
41;Coordenador Comercial;Nacional;TI;2025;;;;;;;;;;;;;;;;
274;Coordenador Contábil Fiscal;Nacional;TI;2025;;;;;;;;;;;;;;;;
836;Coordenador de Assistência Técnica;Nacional;TI;2025;;;;;;;;;;;;;;;;
47;Coordenador de Atendimento e Suporte;Nacional;TI;2025;;;;;;;;;;;;;;;;
134;Coordenador de Banco de Dados;Nacional;TI;2025;;;;;;;;;;;;;;;;
899;Coordenador de BI;Nacional;TI;2025;;;;;;;;;;;;;;;;
491;Coordenador de Comércio Exterior;Nacional;TI;2025;;;;;;;;;;;;;;;;
137;Coordenador de Compras;Nacional;TI;2025;;;;;;;;;;;;;;;;
841;Coordenador de Conteúdo;Nacional;TI;2025;;;;;;;;;;;;;;;;
445;Coordenador de Contratos;Nacional;TI;2025;;;;;;;;;;;;;;;;
123;Coordenador de Controladoria;Nacional;TI;2025;;;;;;;;;;;;;;;;
1067;Coordenador de Customer Experience;Nacional;TI;2025;;;;;;;;;;;;;;;;
126;Coordenador de Departamento Pessoal;Nacional;TI;2025;;;;;;;;;;;;;;;;
73;Coordenador de Desenvolvimento;Nacional;TI;2025;;;;;;;;;;;;;;;;
1073;Coordenador de Designer;Nacional;TI;2025;;;;;;;;;;;;;;;;
831;Coordenador de E-commerce;Nacional;TI;2025;;;;;;;;;;;;;;;;
988;Coordenador de Gerenciamento de Riscos e Compliance;Nacional;TI;2025;;;;;;;;;;;;;;;;
1119;Coordenador de Governança;Nacional;TI;2025;;;;;;;;;;;;;;;;
1058;Coordenador de Growth Hacking;Nacional;TI;2025;;;;;;;;;;;;;;;;
1023;Coordenador de Growth Product;Nacional;TI;2025;;;;;;;;;;;;;;;;
459;Coordenador de Implantação e Configuração;Nacional;TI;2025;;;;;;;;;;;;;;;;
132;Coordenador de Infraestrutura de TI;Nacional;TI;2025;;;;;;;;;;;;;;;;
1008;Coordenador de Inteligência Artificial;Nacional;TI;2025;;;;;;;;;;;;;;;;
552;Coordenador de Inteligência de Mercado;Nacional;TI;2025;;;;;;;;;;;;;;;;
567;Coordenador de Logística;Nacional;TI;2025;;;;;;;;;;;;;;;;
56;Coordenador de Marketing;Nacional;TI;2025;;;;;;;;;;;;;;;;
395;Coordenador de Marketing Digital;Nacional;TI;2025;;;;;;;;;;;;;;;;
167;Coordenador de Negócios;Nacional;TI;2025;;;;;;;;;;;;;;;;
295;Coordenador de Operações;Nacional;TI;2025;;;;;;;;;;;;;;;;
78;Coordenador de Pesquisa e Desenvolvimento P&D;Nacional;TI;2025;;;;;;;;;;;;;;;;
597;Coordenador de Planejamento Financeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
446;Coordenador de PMO;Nacional;TI;2025;;;;;;;;;;;;;;;;
447;Coordenador de Pré-vendas;Nacional;TI;2025;;;;;;;;;;;;;;;;
302;Coordenador de Prevenção à Fraude;Nacional;TI;2025;;;;;;;;;;;;;;;;
396;Coordenador de Produção;Nacional;TI;2025;;;;;;;;;;;;;;;;
305;Coordenador de Produto;Nacional;TI;2025;;;;;;;;;;;;;;;;
97;Coordenador de Projetos;Nacional;TI;2025;;;;;;;;;;;;;;;;
303;Coordenador de Prospecção;Nacional;TI;2025;;;;;;;;;;;;;;;;
120;Coordenador de Qualidade e Processos;Nacional;TI;2025;;;;;;;;;;;;;;;;
636;Coordenador de Recrutamento e Seleção;Nacional;TI;2025;;;;;;;;;;;;;;;;
121;Coordenador de Recursos Humanos;Nacional;TI;2025;;;;;;;;;;;;;;;;
448;Coordenador de Relacionamento;Nacional;TI;2025;;;;;;;;;;;;;;;;
1078;Coordenador de Sales Ops;Nacional;TI;2025;;;;;;;;;;;;;;;;
890;Coordenador de Segurança da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
1011;Coordenador de SRE;Nacional;TI;2025;;;;;;;;;;;;;;;;
76;Coordenador de Tecnologia da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
397;Coordenador de Testes (Qualidade em TI);Nacional;TI;2025;;;;;;;;;;;;;;;;
763;Coordenador de Treinamento e Desenvolvimento;Nacional;TI;2025;;;;;;;;;;;;;;;;
122;Coordenador Financeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
131;Coordenador Jurídico;Nacional;TI;2025;;;;;;;;;;;;;;;;
321;Copeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
1;Desenvolvedor;Nacional;TI;2025;;;;;;;;;;;;;;;;
842;Desenvolvedor Back-end;Nacional;TI;2025;;;;;;;;;;;;;;;;
1064;Desenvolvedor de Jogos Digitais;Nacional;TI;2025;;;;;;;;;;;;;;;;
10;Desenvolvedor Front-end;Nacional;TI;2025;;;;;;;;;;;;;;;;
843;Desenvolvedor Mobile;Nacional;TI;2025;;;;;;;;;;;;;;;;
399;Designer;Nacional;TI;2025;;;;;;;;;;;;;;;;
146;Designer Instrucional;Nacional;TI;2025;;;;;;;;;;;;;;;;
449;DevOps;Nacional;TI;2025;;;;;;;;;;;;;;;;
99;Diretor Administrativo;Nacional;TI;2025;;;;;;;;;;;;;;;;
100;Diretor Comercial;Nacional;TI;2025;;;;;;;;;;;;;;;;
331;Diretor de Arte;Nacional;TI;2025;;;;;;;;;;;;;;;;
1070;Diretor de Dados;Nacional;TI;2025;;;;;;;;;;;;;;;;
102;Diretor de Marketing;Nacional;TI;2025;;;;;;;;;;;;;;;;
153;Diretor de Negócios;Nacional;TI;2025;;;;;;;;;;;;;;;;
198;Diretor de Operações;Nacional;TI;2025;;;;;;;;;;;;;;;;
620;Diretor de Produto;Nacional;TI;2025;;;;;;;;;;;;;;;;
128;Diretor de Projetos;Nacional;TI;2025;;;;;;;;;;;;;;;;
