Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários;Menor Salário;1o Quartil;Média;Mediana;3o Quartil;Maior Salário
1017;Analista de Customer Service (CX);Pleno;Nacional;TI - Software;2025;200;11;37;2990,47;3576,65;4009,92;4257,04;4258,97;5037,54
1017;Analista de Customer Service (CX);Sênior;Nacional;TI - Software;2025;200;5;6;4980,11;5698,97;6267,52;6573,97;6892,04;7071,70
435;Analista de Dados;Indiferente;Nacional;TI - Software;2025;200;16;81;5015,68;5498,58;6829,10;6851,05;7761,90;9096,53
435;Analista de Dados;Júnior;Nacional;TI - Software;2025;200;6;27;3526,28;5498,58;5455,90;5498,58;5543,65;6045,05
435;Analista de Dados;Pleno;Nacional;TI - Software;2025;200;9;14;4817,90;5238,28;5745,19;5760,28;6229,12;6851,05
435;Analista de Dados;Sênior;Nacional;TI - Software;2025;200;8;71;5607,05;9096,53;8932,43;9332,11;9332,11;10272,80
28;Analista de Departamento Pessoal;Indiferente;Nacional;TI - Software;2025;200;29;44;3454,31;3892,30;4491,57;4417,94;5187,22;6045,05
28;Analista de Departamento Pessoal;Júnior;Nacional;TI - Software;2025;200;11;14;3076,56;3526,28;3757,02;3732,35;3892,30;4439,48
28;Analista de Departamento Pessoal;Pleno;Nacional;TI - Software;2025;200;14;22;3290,45;4178,57;4584,30;4635,52;5208,78;5208,78
28;Analista de Departamento Pessoal;Sênior;Nacional;TI - Software;2025;200;9;13;4180,76;4704,70;5927,47;6045,05;6970,52;6988,06
11;Analista de Documentação;Indiferente;Nacional;TI - Software;2025;200;5;10;3271,10;3627,01;4039,58;4065,93;4594,75;4620,85
11;Analista de Documentação;Júnior;Nacional;TI - Software;2025;200;4;5;2747,75;2762,48;3004,16;2908,26;2908,26;3694,06
11;Analista de Documentação;Pleno;Nacional;TI - Software;2025;200;4;5;3271,10;3300,58;3743,17;3604,66;3918,65;4620,85
366;Analista de Eventos;Indiferente;Nacional;TI - Software;2025;200;7;8;3846,85;4320,44;4626,65;4515,47;4998,24;5495,50
368;Analista de Faturamento;Indiferente;Nacional;TI - Software;2025;200;9;14;2921,77;3382,03;3723,75;3804,97;4139,75;4386,32
