Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários
42;Analista de Marketing;Indiferente;Nacional;TI - Software;2025;200;40;151
42;Analista de Marketing;Júnior;Nacional;TI - Software;2025;200;20;30
42;Analista de Marketing;Pleno;Nacional;TI - Software;2025;200;28;104
42;Analista de Marketing;Sênior;Nacional;TI - Software;2025;200;8;13
370;Analista de Marketing Digital;Indiferente;Nacional;TI - Software;2025;200;15;20
370;Analista de Marketing Digital;Júnior;Nacional;TI - Software;2025;200;5;6
370;Analista de Marketing Digital;Pleno;Nacional;TI - Software;2025;200;7;8
370;Analista de Marketing Digital;Sênior;Nacional;TI - Software;2025;200;7;8
45;Analista de Mídias Sociais;Indiferente;Nacional;TI - Software;2025;200;14;21
45;Analista de Mídias Sociais;Júnior;Nacional;TI - Software;2025;200;4;5
45;Analista de Mídias Sociais;Pleno;Nacional;TI - Software;2025;200;4;4
45;Analista de Mídias Sociais;Sênior;Nacional;TI - Software;2025;200;4;4
46;Analista de Negócios;Indiferente;Nacional;TI - Software;2025;200;25;187
46;Analista de Negócios;Júnior;Nacional;TI - Software;2025;200;8;61
46;Analista de Negócios;Pleno;Nacional;TI - Software;2025;200;9;55
46;Analista de Negócios;Sênior;Nacional;TI - Software;2025;200;19;99
306;Analista de Operações;Indiferente;Nacional;TI - Software;2025;200;8;74
306;Analista de Operações;Júnior;Nacional;TI - Software;2025;200;6;53
306;Analista de Operações;Pleno;Nacional;TI - Software;2025;200;4;18
306;Analista de Operações;Sênior;Nacional;TI - Software;2025;200;4;5
1113;Analista de Parcerias;Indiferente;Nacional;TI - Software;2025;200;6;8
1113;Analista de Parcerias;Pleno;Nacional;TI - Software;2025;200;5;5
17;Analista de Pesquisa e Desenvolvimento P&D;Indiferente;Nacional;TI - Software;2025;200;5;18
190;Analista de Planejamento Financeiro;Indiferente;Nacional;TI - Software;2025;200;4;8
438;Analista de Pré-vendas (SDR);Indiferente;Nacional;TI - Software;2025;200;32;154
438;Analista de Pré-vendas (SDR);Júnior;Nacional;TI - Software;2025;200;14;103
438;Analista de Pré-vendas (SDR);Pleno;Nacional;TI - Software;2025;200;18;37
438;Analista de Pré-vendas (SDR);Sênior;Nacional;TI - Software;2025;200;8;11
1015;Analista de Product Marketing (PMM);Indiferente;Nacional;TI - Software;2025;200;11;15
1015;Analista de Product Marketing (PMM);Pleno;Nacional;TI - Software;2025;200;5;6
375;Analista de Produto;Indiferente;Nacional;TI - Software;2025;200;11;49
375;Analista de Produto;Júnior;Nacional;TI - Software;2025;200;5;17
375;Analista de Produto;Pleno;Nacional;TI - Software;2025;200;7;18
375;Analista de Produto;Sênior;Nacional;TI - Software;2025;200;4;9
375;Analista de Produto;Especialista;Nacional;TI - Software;2025;200;4;7
18;Analista de Projetos;Indiferente;Nacional;TI - Software;2025;200;23;84
18;Analista de Projetos;Júnior;Nacional;TI - Software;2025;200;9;31
18;Analista de Projetos;Pleno;Nacional;TI - Software;2025;200;9;14
18;Analista de Projetos;Sênior;Nacional;TI - Software;2025;200;8;15
439;Analista de Prospecção (BDR);Indiferente;Nacional;TI - Software;2025;200;8;13
439;Analista de Prospecção (BDR);Júnior;Nacional;TI - Software;2025;200;4;6
439;Analista de Prospecção (BDR);Pleno;Nacional;TI - Software;2025;200;6;10
50;Analista de Qualidade e Processos;Indiferente;Nacional;TI - Software;2025;200;13;45
50;Analista de Qualidade e Processos;Júnior;Nacional;TI - Software;2025;200;5;9
50;Analista de Qualidade e Processos;Pleno;Nacional;TI - Software;2025;200;8;22
50;Analista de Qualidade e Processos;Sênior;Nacional;TI - Software;2025;200;5;18
359;Analista de Recrutamento e Seleção;Indiferente;Nacional;TI - Software;2025;200;16;46
359;Analista de Recrutamento e Seleção;Júnior;Nacional;TI - Software;2025;200;4;6
359;Analista de Recrutamento e Seleção;Pleno;Nacional;TI - Software;2025;200;12;13
359;Analista de Recrutamento e Seleção;Sênior;Nacional;TI - Software;2025;200;5;22
52;Analista de Recursos Humanos;Indiferente;Nacional;TI - Software;2025;200;43;58
52;Analista de Recursos Humanos;Júnior;Nacional;TI - Software;2025;200;14;14
52;Analista de Recursos Humanos;Pleno;Nacional;TI - Software;2025;200;25;37
52;Analista de Recursos Humanos;Sênior;Nacional;TI - Software;2025;200;6;7
376;Analista de Relacionamento;Indiferente;Nacional;TI - Software;2025;200;35;298
376;Analista de Relacionamento;Júnior;Nacional;TI - Software;2025;200;22;156
376;Analista de Relacionamento;Pleno;Nacional;TI - Software;2025;200;22;136
376;Analista de Relacionamento;Sênior;Nacional;TI - Software;2025;200;13;22
362;Analista de Remuneração e Benefícios;Indiferente;Nacional;TI - Software;2025;200;5;5
796;Analista de Requisitos;Indiferente;Nacional;TI - Software;2025;200;9;45
796;Analista de Requisitos;Júnior;Nacional;TI - Software;2025;200;5;7
796;Analista de Requisitos;Pleno;Nacional;TI - Software;2025;200;4;17
796;Analista de Requisitos;Sênior;Nacional;TI - Software;2025;200;4;25
894;Analista de Sales Ops;Indiferente;Nacional;TI - Software;2025;200;6;8
894;Analista de Sales Ops;Júnior;Nacional;TI - Software;2025;200;4;4
894;Analista de Sales Ops;Pleno;Nacional;TI - Software;2025;200;4;6
889;Analista de Segurança da Informação;Indiferente;Nacional;TI - Software;2025;200;6;8
22;Analista de Sistemas;Indiferente;Nacional;TI - Software;2025;200;27;193
22;Analista de Sistemas;Júnior;Nacional;TI - Software;2025;200;14;45
22;Analista de Sistemas;Pleno;Nacional;TI - Software;2025;200;17;69
22;Analista de Sistemas;Sênior;Nacional;TI - Software;2025;200;14;70
1009;Analista de SRE;Indiferente;Nacional;TI - Software;2025;200;4;12
30;Analista de Tecnologia da Informação;Indiferente;Nacional;TI - Software;2025;200;7;12
30;Analista de Tecnologia da Informação;Júnior;Nacional;TI - Software;2025;200;5;7
29;Analista de Testes (Qualidade em TI);Indiferente;Nacional;TI - Software;2025;200;62;330
29;Analista de Testes (Qualidade em TI);Júnior;Nacional;TI - Software;2025;200;33;89
29;Analista de Testes (Qualidade em TI);Pleno;Nacional;TI - Software;2025;200;35;145
29;Analista de Testes (Qualidade em TI);Sênior;Nacional;TI - Software;2025;200;16;55
379;Analista de Treinamento e Desenvolvimento;Indiferente;Nacional;TI - Software;2025;200;12;20
379;Analista de Treinamento e Desenvolvimento;Júnior;Nacional;TI - Software;2025;200;6;7
379;Analista de Treinamento e Desenvolvimento;Pleno;Nacional;TI - Software;2025;200;7;10
379;Analista de Treinamento e Desenvolvimento;Sênior;Nacional;TI - Software;2025;200;5;7
177;Analista Educacional;Indiferente;Nacional;TI - Software;2025;200;4;37
16;Analista Financeiro;Indiferente;Nacional;TI - Software;2025;200;46;92
16;Analista Financeiro;Júnior;Nacional;TI - Software;2025;200;19;21
16;Analista Financeiro;Pleno;Nacional;TI - Software;2025;200;32;49
16;Analista Financeiro;Sênior;Nacional;TI - Software;2025;200;13;15
381;Analista Jurídico;Indiferente;Nacional;TI - Software;2025;200;11;23
381;Analista Jurídico;Júnior;Nacional;TI - Software;2025;200;5;10
133;Arquiteto de Software;Indiferente;Nacional;TI - Software;2025;200;21;36
133;Arquiteto de Software;Júnior;Nacional;TI - Software;2025;200;5;6
133;Arquiteto de Software;Pleno;Nacional;TI - Software;2025;200;5;6
133;Arquiteto de Software;Sênior;Nacional;TI - Software;2025;200;10;19
59;Assistente Administrativo;Indiferente;Nacional;TI - Software;2025;200;32;59
59;Assistente Administrativo;Júnior;Nacional;TI - Software;2025;200;10;14
59;Assistente Administrativo;Pleno;Nacional;TI - Software;2025;200;5;9
62;Assistente Comercial;Indiferente;Nacional;TI - Software;2025;200;15;30
62;Assistente Comercial;Júnior;Nacional;TI - Software;2025;200;5;6
273;Assistente Contábil;Indiferente;Nacional;TI - Software;2025;200;5;6
319;Assistente de Atendimento e Suporte;Indiferente;Nacional;TI - Software;2025;200;39;167
319;Assistente de Atendimento e Suporte;Júnior;Nacional;TI - Software;2025;200;18;44
319;Assistente de Atendimento e Suporte;Pleno;Nacional;TI - Software;2025;200;8;59
319;Assistente de Atendimento e Suporte;Sênior;Nacional;TI - Software;2025;200;6;8
129;Assistente de Contratos;Indiferente;Nacional;TI - Software;2025;200;7;8
1068;Assistente de Customer Experience;Indiferente;Nacional;TI - Software;2025;200;6;10
68;Assistente de Departamento Pessoal;Indiferente;Nacional;TI - Software;2025;200;10;22
440;Assistente de Implantação e Configuração;Indiferente;Nacional;TI - Software;2025;200;7;19
69;Assistente de Infraestrutura de TI;Indiferente;Nacional;TI - Software;2025;200;12;19
69;Assistente de Infraestrutura de TI;Júnior;Nacional;TI - Software;2025;200;4;5
71;Assistente de Marketing;Indiferente;Nacional;TI - Software;2025;200;19;36
309;Assistente de Operações;Indiferente;Nacional;TI - Software;2025;200;4;48
441;Assistente de Pré-vendas (SDR);Indiferente;Nacional;TI - Software;2025;200;23;64
441;Assistente de Pré-vendas (SDR);Júnior;Nacional;TI - Software;2025;200;7;10
441;Assistente de Pré-vendas (SDR);Pleno;Nacional;TI - Software;2025;200;7;13
795;Assistente de Programação;Indiferente;Nacional;TI - Software;2025;200;5;34
795;Assistente de Programação;Júnior;Nacional;TI - Software;2025;200;5;23
795;Assistente de Programação;Pleno;Nacional;TI - Software;2025;200;4;12
74;Assistente de Projetos;Indiferente;Nacional;TI - Software;2025;200;5;9
292;Assistente de Prospecção (BDR);Indiferente;Nacional;TI - Software;2025;200;4;4
